gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
8676-f,1453324038574,base,0,8,0,1,director,"Move the comb up"
8676-f,1453324052670,base,1,8,1,0,director,"move the mouse up one"
8676-f,1453324076466,base,0,8,2,0,director,"Move the pan up one"
8676-f,1453324085817,base,0,8,3,0,director,"move piano left one"
8676-f,1453324097086,exp,0,6,0,0,director,"move banana up one"
8676-f,1453324106708,exp,0,6,1,0,director,"move dollar right one"
8676-f,1453324114356,exp,1,6,2,0,director,"move erase up"
8676-f,1453324122873,exp,0,6,3,0,director,"move feather left"
8676-f,1453324130685,exp,0,3,0,0,director,"scissors right"
8676-f,1453324137933,exp,0,3,1,0,director,"knife down"
8676-f,1453324143643,exp,0,3,2,0,director,"soap left"
8676-f,1453324150984,exp,1,3,3,0,director,"cassette down"
8676-f,1453324164469,base,0,2,0,0,director,"binoculars right"
8676-f,1453324172461,base,0,2,1,0,director,"wrench left"
8676-f,1453324184025,base,1,2,2,0,director,"blue block left"
8676-f,1453324193020,base,0,2,3,0,director,"cup right"
8676-f,1453324199328,exp,0,5,0,0,director,"ball down"
8676-f,1453324206356,exp,1,5,1,0,director,"brush left"
8676-f,1453324222171,exp,0,5,2,0,director,"headphones left"
8676-f,1453324228129,exp,0,5,3,0,director,"book right"
8676-f,1453324237222,base,0,1,0,0,director,"red airplane right"
8676-f,1453324245659,base,1,1,1,0,director,"glasses right"
8676-f,1453324252265,base,0,1,2,0,director,"barrel down"
8676-f,1453324260575,base,0,1,3,0,director,"saxophone up"
8676-f,1453324267302,exp,0,7,0,0,director,"magnet down"
8676-f,1453324276683,exp,0,7,1,0,director,"handcuffs down"
8676-f,1453324283433,exp,0,7,2,0,director,"panda down"
8676-f,1453324290925,exp,1,7,3,0,director,"candle down"
8676-f,1453324298166,base,0,4,0,0,director,"carrot up"
8676-f,1453324309844,base,1,4,1,0,director,"pyrex down"
8676-f,1453324320176,base,0,4,2,0,director,"bottle right"
8676-f,1453324325965,base,0,4,3,0,director,"chair left"
