gameid,role,gameLength,thinksHuman,understandsInstructions,nativeEnglish,ratePartner,comments,strategy
7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,director,622674,no,yes,yes,okay,,My strategy was simply to describe the object as best as possible.
8947-629a9492-a323-44d4-bd04-4b85b5246f63,director,476509,yes,yes,yes,loved,no,I tried to accurately describe the object 
8358-0c3212d0-3e83-4f90-a4da-9a443d5e8081,matcher,694522,yes,yes,yes,liked,,Doing what the other person said to do.
0248-0ddbec25-7e2d-4464-9e98-1ebbc125c4df,director,859383,yes,yes,yes,okay,None,I just typed what needed moving
4715-4501143e-ea94-4532-9726-05fa3429c32d,matcher,1267264,yes,yes,yes,okay,No.,I just paid attention to what the person asked me to do.
5533-1660cf7c-bd49-4065-8100-d998ebe926ac,director,731324,no,yes,yes,liked,,I tried to be descriptive enough to get the message across without being too complicated in my description.
0095-03bb67a7-ae89-402d-9f7f-c5898784e63f,director,1418131,no,yes,yes,okay,None,"Once I realized that some rounds had similar items, I started being more descriptive. Once I determined each round only had one pair or so of similar items, I stopped being descriptive to save time, and only added descriptors if needed."
4665-31f9dda8-f9f9-4769-96bc-bb8cc935f74b,matcher,854788,no,yes,yes,loved,Fun! I did have one occasion where it said I got a message but the green dot didn't show up. I clicked randomly and it eventually went forward. ,Tried to follow the directions as closely as possible. 
8358-0c3212d0-3e83-4f90-a4da-9a443d5e8081,director,743442,no,yes,yes,loved,None,"Told which object to move, which direction to move it, and how many spaces"
8710-e4a804cd-2869-4e25-b1fe-c0c276bc494c,matcher,767814,yes,yes,yes,liked,It was pretty fun :),"I looked for the item the director mentioned. When there were two or more similar items, I looked to see whether one was behind a curtain. (I messed that up once -- I chose the wrong type of eraser)"
0993-d2ff1751-f174-40fd-9d1c-f702d5e1ee50,director,1083672,yes,yes,yes,loved,I tried my best. ,"I would tell them: the item, row number, and box number.  Then I would tell them what box and row to move the item to. "
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,director,800023,yes,yes,yes,okay,Thank you.,Just trying to be as clear as possible.
0993-d2ff1751-f174-40fd-9d1c-f702d5e1ee50,matcher,1086136,yes,yes,yes,loved,"This was fun. BTW, I used Firefox instead of Chrome and everything worked fine.","My partner mostly used a numerical system (i.e. ""move carrot from Row 1, Box 1 to Box 2."")"
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,matcher,550593,yes,yes,yes,loved, Nope,Follow instructions
1585-1a4947c1-4ec5-4537-b571-23fff63fd505,director,1184853,yes,yes,yes,okay,"I think something must have gone wrong for my partner.  On the last one before they dropped, they kept trying to move the block but couldnt seem to get it to the right box.","I tried to mimic the instructions that were pre-typed in for me, the example ones."
7915-6adabe85-d7fb-4a73-8f64-9feb28508e17,director,886333,yes,yes,yes,loved,"i like it , i had fun ",i tried to use simple instructions 
4084-d6e49d21-6227-4725-9d5c-58f9fca83593,director,1075336,no,yes,no,not much,,Tried to somewhat copy how some of the sentences were written.
5778-a8c925b4-e0e8-45f4-b3dc-89287002993e,director,690497,yes,yes,yes,liked,Fun HIT thank you!,be as descriptive as possble
2482-896fac89-c21a-4239-9064-304ba195a58b,matcher,821469,yes,yes,yes,okay,"fun, and interesting!!!","no strategy, just followed directions to the best of my ability."
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,matcher,1078060,yes,yes,yes,okay,,I simply tried to follow their instructions the best I could.
4379-a6ba441a-e175-4211-9be6-8050145b166a,director,894128,yes,yes,yes,liked,,
5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,director,947608,no,yes,yes,okay,Everything went smoothly. No technical difficulties and instructions were easy to understand.,Be as descriptive  of the item as possible
9364-1c5f814f-a77f-4f6f-ba61-eff48aae848d,matcher,1200906,yes,yes,yes,liked,,I followed the directors instructions and made sure that if the director used colors in their description that I looked for the item of that color.
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,director,1162529,yes,yes,yes,loved,no,Just basic
3592-3f23ca18-c32b-4f96-bb57-90d47d86e040,matcher,738414,yes,yes,yes,loved,This is a very interesting experiment. I had fun doing it.,I followed the instructions and focused on the things the director can see.
9364-1c5f814f-a77f-4f6f-ba61-eff48aae848d,director,1207636,yes,yes,yes,loved,Thank you for allowing me to be a part of your study.,I tried to describe the object as well as I could incase the other person could see another one that was similar behind a curtain
5651-35ab95d3-21a7-43ae-a09d-40ab5d133303,director,699091,no,yes,yes,okay,Interesting experiment!,I stated the object and said to move it one space in the appropriate direction. If there were two objects I added additional descriptions of the first object.
4737-d0d6e46d-fec1-4544-8808-42b048d873c2,director,857864,yes,confused,yes,okay,No,I did not have a strategy
9696-71907a9b-6b17-48d9-83a5-dcd44739991e,matcher,779398,yes,yes,yes,loved,,I followed my partner's instructions
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,director,608811,yes,yes,yes,loved,none,"object, direction, number of spaces"
0095-03bb67a7-ae89-402d-9f7f-c5898784e63f,matcher,1113797,yes,yes,yes,liked,I enjoyed it!,I tried to follow the instructions. Some of the instructions were a little vague and that led to confusion.
4379-a6ba441a-e175-4211-9be6-8050145b166a,matcher,1022536,no,yes,yes,okay,"No. But, I did enjoy it.",I Didn't use any strategy. I just took instructions the way I understood them.
3374-01519e79-6759-4f00-b000-cbd5605c12bb,matcher,663136,no,yes,yes,not much,clicking the TINY green button was a freaking nightmare,following the directions
2424-e0f68d15-48c9-4e47-b792-605560d7a848,matcher,629853,yes,yes,yes,liked,"I had internet issues, so I was late. I'm so sorry!!",I put my cursor in the middle and waited.  
9696-71907a9b-6b17-48d9-83a5-dcd44739991e,director,866295,yes,yes,yes,loved,"maybe allow the entire game to be zoomed in. some of the pictures were a little tough to see clearly(where there was a feather i initially thought it was a leaf, where there was a hair brush i initially thought it was an audio adapter)",pretty simple.just very straightforward
5778-a8c925b4-e0e8-45f4-b3dc-89287002993e,matcher,937412,yes,yes,yes,okay,,I would listen to the instructions he gave me
3880-be5862d4-6386-444c-b664-7ddea799fbf4,director,499814,no,yes,yes,not much,,never gpt a partner
2424-e0f68d15-48c9-4e47-b792-605560d7a848,director,764093,yes,yes,yes,liked,,"Basic, just be clear and precise with instructions."
4084-d6e49d21-6227-4725-9d5c-58f9fca83593,matcher,923567,yes,yes,yes,liked,none,I was the matcher and I did what I am told to do
3798-5cf37d03-ee23-4f68-849f-a54a1b0d87d3,director,1566400,yes,yes,yes,liked,,used the names of the objects
7915-6adabe85-d7fb-4a73-8f64-9feb28508e17,matcher,848302,yes,yes,yes,liked,None,At first just followed the directions and then thought about what the other user could see.
9457-4189cc9b-a82b-4db9-828d-bf90d1987aee,matcher,1194984,yes,yes,yes,liked,"This was an interesting and fun experiment, thank you.",I was first given labels for the rows and columns and then for each round I was told which grid item to move using those labels.  I followed the instructions I was given and it worked perfectly.  
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,matcher,591165,yes,yes,yes,liked,no comment,I followed the directions which were easy to understand and turned out to be right.
9795-f1e7f3aa-0328-4e12-bc05-24dd3a233042,director,488352,no,yes,yes,not much,"The experiment quit working and I was unable to type anything into the box as the words kept disappearing. If my partner was real, I hate to say it, but they weren't too bright.",Very straight forward and simple.
3592-3f23ca18-c32b-4f96-bb57-90d47d86e040,director,683587,yes,yes,yes,liked,,I just told the matcher to move a specific object using basic language and not trying to be too specific
0562-c375f066-1433-4cac-82fe-ce796f9747c9,director,1305642,yes,yes,yes,liked,,Describe the object and where it should go clearly
6540-7f14fa62-c692-4860-90d4-32baa1137833,director,1038635,yes,yes,yes,loved,Very interesting and unique experiment. I really enjoyed participating today. ,I tried to give clear instructions that could be easily understood.
0562-c375f066-1433-4cac-82fe-ce796f9747c9,matcher,869057,yes,yes,yes,loved,no,remembered that he couldn't see behind the curtain
5651-35ab95d3-21a7-43ae-a09d-40ab5d133303,matcher,678016,no,yes,yes,liked,,Trying to follow directions and keep in mind the other person couldn't see the items behind curtains.
6540-7f14fa62-c692-4860-90d4-32baa1137833,matcher,1011265,yes,yes,yes,liked,,I read what the director said and followed their instructions.
1990-dac78831-3703-41d5-afe1-dd14d4d8cb79,director,893151,yes,yes,yes,loved,,I tried to give as much visual detail so the other player would know which one I was referring to.
5235-b24157e1-836b-40d1-afcd-17831199ed27,matcher,741313,yes,NA,yes,liked,,i just made sure to pay attention to the director as much as possible
5803-9ecfc101-0c9f-406a-96e9-95ce9e342def,matcher,843087,yes,yes,yes,loved,That was so much fun! Thanks!,Just be careful to make sure I'm only moving things that the director can see.
8402-2678755e-7482-47f0-9372-0cdd1303303c,matcher,569279,yes,yes,yes,liked,No.,Just moving items around.
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,matcher,1242049,no,yes,yes,liked,No...it was just really easy.,I just listened to my partner the whole time.
5235-b24157e1-836b-40d1-afcd-17831199ed27,director,755772,yes,yes,yes,loved,the only errors that were made was when my response was already typed and i could not change the words. it gave incorrect commands twice.,i was as descriptive as possible
0980-86201282-6873-4820-a41b-ea9f286c8aa2,matcher,1416556,no,yes,yes,loved,No,By following directions
1990-dac78831-3703-41d5-afe1-dd14d4d8cb79,matcher,765302,yes,yes,yes,loved,,followed my partners explanations
8402-2678755e-7482-47f0-9372-0cdd1303303c,director,643374,no,yes,yes,loved,ty,keep it as simple as possible
3506-df8fd545-8ed1-4a0c-8315-ac3d09c38637,director,997702,yes,yes,yes,okay,No comment.,There was no strategy besides typing the instruction.  It was a little annoying when it automatically placed instructions that weren't always clear.
5803-9ecfc101-0c9f-406a-96e9-95ce9e342def,director,953367,yes,yes,yes,liked,No,Keep the instructions clear and precise.
3398-9e59764f-161c-40af-ad2b-17b184ed3edc,matcher,706801,yes,yes,yes,loved,It was fun!,Mine was easy.  I just followed directions.  The director did a great job communicating.
3369-af8a9aa6-2cc9-42b9-9c46-b8546a852c73,matcher,555596,yes,yes,yes,loved,Great experiment!,I relied on the properties that my partner described to me.
2757-f173e832-4c8b-4e84-a331-ddcccf26a0c4,matcher,524970,yes,yes,yes,loved,none,reasoning
1635-e2c06555-51df-40a9-8550-3d1d03139793,matcher,421904,yes,yes,yes,not much,,i simply followed my partners instructions to be honest
1578-92cffe95-8e93-4ad2-8078-2d0ec1c7442f,matcher,702814,yes,yes,yes,okay,"No, not really. ","I tried to follow the instructions. That was it. I made mistakes, which I shouldn't have because of how easy this was. I bet my partner hates me. "
9337-02513d8c-6993-461d-ab39-7abc545c960c,matcher,450595,no,yes,yes,okay,,I followed the directions
9164-172a1b2e-7b04-4b19-88de-1382c687e304,director,401756,yes,yes,yes,liked,,Describing the object my partner needed to move and which direction as simply as possible
4241-cda4a373-ffd7-41e3-ae60-82b9d377a455,director,1328300,yes,yes,yes,loved,"I hope I did it correctly, I was nervous but enjoyed the experiment!","I tried to use properties of the object to describe them, ex. produces sound. I tried not to make it obvious and use the name of the object as much as possible. "
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,director,1271720,no,yes,yes,liked,,I explained the name and color of the object and then indicated in capital letters where to move it.
0980-86201282-6873-4820-a41b-ea9f286c8aa2,director,1599543,yes,yes,yes,not much,First time i tried this hit waited ~50 minutes and no one showed up.  For how long this actually took to complete I am glad no one showed up in that latter half.  I know the instructiosn recommended returning the HIT after 15 minutes.  But it would be useful to reinforce that by giving an estimate of how long the game actually takes.  Mine was about ~20 minutes of actual play time.,I was as specific as possible as the director.  Giving clear and descriptive instructions.
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,director,749944,no,yes,yes,loved,This was fun! ,"I tried to be as descriptive of the objects as possible. After I realized in one round that the hidden objects could be similar to the ones I need to direct the other player to move, I added more detail to my descriptions. "
4241-cda4a373-ffd7-41e3-ae60-82b9d377a455,matcher,1186986,yes,yes,yes,loved,No.,"The director made the clues very easy to understand, so I just followed his/her clues, making sure to stay away from the objects that they couldn't see. "
8181-5b943f79-f3a7-4b00-9e30-648b53212d3a,matcher,1367285,yes,yes,yes,liked,Good experience.,First identifying the correct things and after identify the correct place.
6068-59d1743c-c6f4-46d8-b524-4834fd4c43cf,matcher,469226,yes,yes,yes,okay,,I tried to follow what they said. Something wonky happened at the end and I messed up b/c the connection was laggy.
3506-df8fd545-8ed1-4a0c-8315-ac3d09c38637,matcher,1071173,no,yes,yes,loved,Twice I forgot that they couldn't see the object behind the curtain and moved the wrong item at the beginning - after that I did everything correctly.,I just tried to follow the Director's directions. 
1580-4762ca9e-da2d-4bb3-bc84-2d913edcee4f,matcher,1024880,no,yes,yes,loved,,"I listened to what the director was saying, for most of them. I forgot that it wasn't possible for them to see behind the red curtains, so that's where we lost points."
