iterationName	gameid	serverTime	condition	trialNum	instructionNum	targetObject	attemptNum	trialType	objectSet	critical	sender	contents	typingRT	eventType
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522814910557	unscripted	1	0	binoculars	0	exp	2	false	director	move the binoculars one to the right	7370	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522814939517	unscripted	1	1	wrench	0	exp	2	false	director	move the wrench one to the left	4594	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522814959049	unscripted	1	2	middleBlock	0	exp	2	true	director	move the B block one to the left	5269	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522814978713	unscripted	1	3	coffeeMug	0	exp	2	false	director	move the coffee mug one to the right	6253	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522814998069	unscripted	2	0	carrot	0	base	4	false	director	move the carrot up one square	5163	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522815021310	unscripted	2	1	mediumMeasuringCup	0	base	4	true	director	move the measuring cup down one square	5399	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522815043931	unscripted	2	2	waterBottle	0	base	4	false	director	move the water bottle one to the right	4916	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522815065806	unscripted	2	3	chair	0	base	4	false	director	move the chair one to the left	3796	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522815079402	unscripted	3	0	banana	0	base	6	false	director	move the banana one up	3373	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522815098135	unscripted	3	1	dollar	0	base	6	false	director	move the dollar bill one to the right	4265	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522815123104	unscripted	3	2	boardEraser	0	base	6	true	director	move the expo eraser up one	7516	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522815138436	unscripted	3	3	feather	0	base	6	false	director	move the feather one to the left	3653	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522815173784	unscripted	4	0	scissors	0	exp	3	false	director	move the second row left box one to the right	10107	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522815208009	unscripted	4	1	knife	0	exp	3	false	director	move the knife down one	4382	chatMessage
planned_sample	8181-5b943f79-f3a7-4b00-9e30-648b53212d3a	1522815225953	unscripted	4	2	barOfSoap	0	exp	3	false	director	move the bar of soap one to the left	3920	chatMessage
