gameid,objectSet,text
0043-06d2e329-051d-4c4b-898a-1b45447c5290,7,move the candle down one
0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,move the cassette down one
0043-06d2e329-051d-4c4b-898a-1b45447c5290,8,move the mouse up one
0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,move the dark sunglasses right one
0043-06d2e329-051d-4c4b-898a-1b45447c5290,5,move the thing that looks like a brush to the left one
0043-06d2e329-051d-4c4b-898a-1b45447c5290,4,move the glass measuring cup down one
0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,move the block with a blue 'B' showing to the left
0043-06d2e329-051d-4c4b-898a-1b45447c5290,6,expo dry erase eraser up
0253-f251d8ba-98a1-42f6-bf50-459c2e0c70dd,3,cassette down one
0253-f251d8ba-98a1-42f6-bf50-459c2e0c70dd,2,B block left one
0253-f251d8ba-98a1-42f6-bf50-459c2e0c70dd,4,measuring cup down one
0253-f251d8ba-98a1-42f6-bf50-459c2e0c70dd,5,hairbrush left one
0253-f251d8ba-98a1-42f6-bf50-459c2e0c70dd,1,sunglasses right one
0253-f251d8ba-98a1-42f6-bf50-459c2e0c70dd,7,candle down one
0253-f251d8ba-98a1-42f6-bf50-459c2e0c70dd,8,mouse up one
0253-f251d8ba-98a1-42f6-bf50-459c2e0c70dd,6,eraser up one
0849-3c0ff096-1ccb-4100-bc6e-640aef71617b,1,move the sunglasses right
0849-3c0ff096-1ccb-4100-bc6e-640aef71617b,7,move the candle one square down
0849-3c0ff096-1ccb-4100-bc6e-640aef71617b,3,move the cassette tape one square down
0849-3c0ff096-1ccb-4100-bc6e-640aef71617b,6,move the whiteboard eraser one square up
0849-3c0ff096-1ccb-4100-bc6e-640aef71617b,2,move the child's B block one square left
0849-3c0ff096-1ccb-4100-bc6e-640aef71617b,5,move the hair brush one square left
0849-3c0ff096-1ccb-4100-bc6e-640aef71617b,8,move the computer mouse one square up
0849-3c0ff096-1ccb-4100-bc6e-640aef71617b,4,move the glass measuring cup one with the handle square down
0914-515eaa37-ca0b-49de-8ade-e23d75984698,3,move the radio cassette one square down
0914-515eaa37-ca0b-49de-8ade-e23d75984698,2,move the block with the blue letter B facing up one square to the left
0914-515eaa37-ca0b-49de-8ade-e23d75984698,7,move the red candle one square down
0914-515eaa37-ca0b-49de-8ade-e23d75984698,8,move the computer mouse one square up
0914-515eaa37-ca0b-49de-8ade-e23d75984698,1,move the black sunglasses one square to the right into the red curtained cubby
0914-515eaa37-ca0b-49de-8ade-e23d75984698,4,move the clear pyrex measuring cup down into the red curtained cubby
0914-515eaa37-ca0b-49de-8ade-e23d75984698,6,move the EXPO white board eraser one square up
