gameid,role,gameLength,thinksHuman,understandsInstructions,nativeEnglish,ratePartner,comments,strategy
8444-291a5d3a-e311-4c24-925c-173dfcc01141,speaker,542409,NA,yes,yes,liked,no,i just chatted the target shape and pattern if necessary
4986-89a8a247-24aa-4bed-a45e-482506dfbd81,speaker,314359,yes,yes,yes,liked,no,i just told them what i saw
9192-b28929bf-cd63-407c-93e3-c845d45bee0d,listener,452953,yes,yes,yes,liked,,I just clicked what they described
5090-4b086da5-f9ab-4946-a4e5-289fa9fef307,listener,339441,yes,yes,yes,loved,,just clicked on what the speaker described
2935-77f0935d-5261-42e5-8cf9-37e733dfb129,listener,500260,no,yes,yes,okay,no,I just listened and chose correctly.
4419-f62723a2-7f38-4221-be55-621f5737425f,listener,350616,yes,yes,yes,loved,,Just desctribe the shapes and the pattern inside them
5090-4b086da5-f9ab-4946-a4e5-289fa9fef307,speaker,388242,yes,yes,yes,liked,,"I used the simplest directions possible, unless there were curtains. When there were curtains I used more detailed, specific descriptions in case the simpler ones could also apply to the shapes behind the curtains."
4894-6857c442-5c56-4f12-b114-573822a68e9c,listener,520824,yes,yes,yes,okay,No.,I listened to the speaker and followed his descriptions.
3493-0f243055-f356-4cf5-9bc3-3367776efde8,speaker,604636,yes,yes,yes,loved,I enjoyed the experiment except I got confused on one object.,It was good
8808-202dc754-665a-4310-82e8-bd4e301b9404,speaker,805720,yes,yes,yes,loved,Very fun experiment.  Would love to do similar in the future.,"Giving a detailed description of the shape that I saw, for example ""Blue square with vertical gray stripes."""
4419-f62723a2-7f38-4221-be55-621f5737425f,speaker,394984,yes,yes,yes,loved,,Describe the object leaving no room for the speaker to guess on what the object is.
7812-cf7640d7-5fa3-4f18-aed5-d7af48707614,listener,499084,yes,yes,yes,loved,Great hit and easier than I thought. One thing is the curtains didn't seem to be an issue at least for me. I sailed right through.,Super easy as I got great clues. I just had to wait a second and make sure before clicking as it can be easy to go too quick. Have to really look as I did not want to make any mistakes.
6187-fe020d7b-ab85-47f0-9a9c-c089dfdc6320,listener,564950,no,yes,yes,okay,,My partner described each object with enough detail that I was immediately able to tell which object was correct. I didn't really have to use any strategy.
1444-5bb7301c-6c65-4129-be45-330e04efc26b,speaker,585413,yes,yes,yes,loved,"no, thank you",I just described the images
2038-bf103984-52eb-4d60-8529-330c4ddc8159,listener,446145,yes,yes,yes,loved,no,I just clicked on what they told me to
9979-f0829373-5a79-40da-9abf-7ef7b9b1f323,listener,470750,yes,yes,yes,liked,,I read the description sent to me and chose the one that matched.
9979-f0829373-5a79-40da-9abf-7ef7b9b1f323,speaker,482334,yes,yes,yes,liked,It was unique and I enjoyed it!,I gave straightforward descriptions of the shapes.  
2038-bf103984-52eb-4d60-8529-330c4ddc8159,speaker,516507,yes,yes,yes,liked,Have the instructions reviewable,"Only used the shape when there was only one of them, then focused on the inside."
9241-fc30c349-3fea-4e0e-bb20-738d6736f6c4,listener,1041132,no,yes,yes,loved,,just listening and following instructions
9498-196b6b8e-52e7-40b6-bf31-c03ee6ed98e7,speaker,273797,yes,yes,yes,loved,no thanks,described the pictures
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,listener,388426,yes,yes,yes,loved,none,"I had a good partner, didn't really need a strategy"
8621-a5ab85e7-22b3-468e-acfb-548a26e2387d,listener,819750,yes,yes,yes,loved,nice survey,good
9241-fc30c349-3fea-4e0e-bb20-738d6736f6c4,speaker,1224302,yes,yes,yes,loved,Nope,Was as descriptive as possible 
7011-10558aa0-7027-4676-9523-a9ea90b0837a,listener,565851,yes,yes,yes,liked,no,I just listened to what my partner described.
9257-edf28781-1177-42e3-add5-8cf85c6f9db0,listener,313155,yes,yes,yes,okay,The study was straightforward and easy to follow,Listen to the speaker
5459-5459411f-4723-40bd-94a7-4b6b7904160c,listener,442460,yes,yes,yes,loved,,My strategy was to see if anything else could be mistaken for the requested symbol and send a message if I felt there would conflict. (Like if they say star and I see two stars but they didn't) I didn't end up needing clarification
9713-e2fd26d6-7eb0-4e31-aab9-3c6959210297,listener,423056,yes,yes,yes,loved,fun,just looked for what they described
9498-196b6b8e-52e7-40b6-bf31-c03ee6ed98e7,listener,258003,yes,yes,yes,liked,,I picked the shape described by the speaker - there were never any ambiguities
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,speaker,441902,yes,yes,yes,okay,,it's easy to describe the objects.
4894-6857c442-5c56-4f12-b114-573822a68e9c,speaker,555918,yes,yes,yes,loved,Interesting HIT - fun!,"I described the shape by number of sides it had, and then described the pattern within the shape."
7338-7e6fe44c-9252-4b18-9f29-07454840b139,speaker,705946,yes,yes,yes,loved,no,describe the object as thoroughly as I needed to
3377-28918824-176d-48cb-820d-f110b89f050b,speaker,336773,yes,yes,yes,liked,,make sure it is detailed enough if there is a shade
9937-65f300c2-31f1-4fbb-850a-b085457b0e50,speaker,422597,no,yes,yes,loved,Good study,"Had to describe the color and shape, and also what pattern filled the shape."
6187-fe020d7b-ab85-47f0-9a9c-c089dfdc6320,speaker,576453,yes,yes,yes,loved,I would have liked to have the game switch half-way through so I got the experience of being a Listener too. ,Two Sentences. First Sentence: Color of Outline & Shape. Second Sentence: Inside Pattern. 
2162-b2701f79-4ab1-4ad4-b8fc-d1c19e0b6e5c,speaker,368776,yes,yes,yes,liked,"I could have sworn a couple times my partner guessed correctly, but y'all said it was wrong",tried to be as simple as possible
9029-bcb6f5a0-b21a-416f-9a6d-488f3fb577ba,listener,456716,yes,yes,yes,loved,None.,I was the listener and my speaker was always accurate.
7811-0acd309d-ec1d-4b65-a64c-4cf66c00a115,speaker,723351,yes,yes,yes,loved,,I described in good detail
8964-2c472d88-517c-4ef8-8aa8-089d9d2876db,speaker,436603,yes,yes,yes,liked,Interesting - thank you.,I tried to describe by most simple feature for my listener
6580-daed1634-1b8f-47bb-99cc-569c05381caa,speaker,758449,yes,yes,yes,liked,no,basic sides color filling
7924-57d79d28-8fa1-42d8-b81c-7c7130e30eca,listener,579679,yes,yes,yes,loved,"Yes.  I was slow to start and actually thought the game didn't load properly so I slowed us down a bit, I had to scroll down to see the board with the shaped",I paid attention to the description I was given
2463-7f48f9b3-106d-4460-9749-561cfbf9387b,speaker,609551,no,yes,yes,loved,no,describe with enough detail to where it couldn't be confused with any other
8219-bb7861c1-43f4-480c-906b-8441c583c0ab,speaker,855567,yes,yes,yes,okay,"Nope, interesting!",I described the object and where it was. It worked well!
1724-fcec648b-12c8-4d92-b4f5-82461bde4762,listener,716788,yes,yes,yes,liked,,PAYING CLOSE ATTENTION TO THE SPEAKER'S DESCRIPTION
6361-00f2b628-cefc-4406-ab60-e551d3a00b65,listener,506121,yes,yes,yes,loved,no,clicked on what the other player described
4185-e240a023-27c8-48ea-88dd-4661146e6b23,listener,461165,yes,yes,yes,liked,no,read the message and click
7391-f2571774-da75-4608-bc17-8c66b5372071,speaker,1053983,yes,yes,yes,okay,Did you change the target on me?  Or was I really so tired I got some wrong,"I was using multiple descriptors (shape, outline, and texture)"
3324-abc05d42-f027-4cac-aa30-c3f24b0c2144,listener,469581,yes,yes,yes,liked,Was very fun!,Look for exactly what they explained.
7338-7e6fe44c-9252-4b18-9f29-07454840b139,listener,573221,no,yes,yes,liked,"No issues, but the instructions were a bit ambiguous. The question about the message box being 2-way was never mentioned -- and as a Listener, never needed -- yet I had to answer a question about it before I could proceed. ",Read Listener's clues.
9937-65f300c2-31f1-4fbb-850a-b085457b0e50,listener,348816,yes,yes,yes,loved,nope,I listened to my partner.
9744-1ec95fb4-776a-4620-b8e3-f928fb09de2a,speaker,414288,yes,yes,yes,okay,,described the objects not their position
0695-25cba373-a155-42c2-9971-44e1af0b113a,speaker,385242,yes,yes,yes,liked,,I just explained what the shape was and what the design in the middle was.
3699-6c53ad23-34a7-4e0e-ad27-00654af271cc,listener,459999,no,yes,yes,okay,no,I just read what they typed
7580-e1cd16aa-d561-47cf-bd1f-e725ec66998e,listener,904389,yes,yes,yes,okay,At least in my window I had to use an extremely narrow scroll bar to scroll up and down each round. I'm sure this HIT could be designed to accomplish the same goals with 1/10 of the currently required effort.,I tried to find a match to the speakers description.
1724-fcec648b-12c8-4d92-b4f5-82461bde4762,speaker,701324,yes,yes,yes,loved,N/A,I tried to be as descriptive as possible regardless of whether there were curtains or not
6032-6f8a671d-23bc-4e8d-bf67-7fb3f791065a,listener,644744,yes,yes,yes,loved,Survey went smoothly.,"I trusted what my partner described, they described things well. "
7924-57d79d28-8fa1-42d8-b81c-7c7130e30eca,speaker,660002,yes,yes,yes,liked,,use less words when possible. describe as much as possible when there are curtains.
7726-3d4a266f-e56d-4afb-9a79-b40deb690a76,listener,687095,no,yes,yes,loved,,Followed my partner's directions closely
9600-d9162640-3d69-4aef-9ca1-f50d5d58b7e2,speaker,812780,yes,yes,yes,okay,"Wondering if there actually was a need for the extra detail, but I doubt I'll lose any sleep over it. ;)","Outline color and shape was usually enough. Realized with curtains that specifying the pattern inside the shape may help, since I didn't know if there might be ambiguity otherwise. "
6952-f84cf3f2-0198-4509-bb35-aac7dee1e132,speaker,980542,yes,yes,yes,liked,It took a while for the partner to respond on some screens,Describing the object
6894-7656b41b-8dfd-427e-9290-f0726a4d08c0,speaker,524706,no,yes,yes,okay,no,Say shape and color and pattern
1087-9a341f43-b2f9-4f35-bab4-bf169e3e0e2a,listener,1107342,yes,confused,yes,okay,"I was confused with the instructions because I was not sure of the roles between the listener and the speaker. One way for me this would be easier to understand is perhaps if there was a table or chart that had all the roles of the Listener on one side and all the parts of the speaker in the respective order on the other side =|= 
 It would look like this:
          Speaker         |         Listener
describe object       | identify object
can use chat box     | can use chat box
cannot see curtain  |  can see curtain

But maybe I am the only one with this confusion.",pretty straight forward. The first one had to figure out what I was doing and there may have been a language barrier but it all worked out fine in the end.
6894-7656b41b-8dfd-427e-9290-f0726a4d08c0,listener,527314,yes,yes,yes,loved,,i chose what the speaker told me to choose
1390-1099952c-7333-49c7-9fe0-64973c521a8a,speaker,534765,yes,yes,yes,loved,no,just tried my best to describe the objects
4185-e240a023-27c8-48ea-88dd-4661146e6b23,speaker,716627,yes,yes,yes,liked,,"I describe the shape, color and the what is inside the shape"
8682-2f37e067-e305-4fbd-84e1-10cb8b63d479,speaker,524363,yes,yes,yes,loved,,"describing the shape, border, and what is inside the object"
1390-1099952c-7333-49c7-9fe0-64973c521a8a,listener,501298,yes,yes,yes,loved,The curtain part was confusing to me.,speaker told the shape and color.  we had one that we had to converse twice on
8682-2f37e067-e305-4fbd-84e1-10cb8b63d479,listener,562838,no,yes,yes,okay,I couldn't type back and say Thank you!,Basic
6361-00f2b628-cefc-4406-ab60-e551d3a00b65,speaker,491834,yes,yes,yes,loved,Fun!,I described each target in detail
9117-68358f00-951d-449a-9fd0-9b19a02ec382,listener,358169,yes,yes,yes,loved,FUN!,I was the listener - just listened to what the speaker said
9744-1ec95fb4-776a-4620-b8e3-f928fb09de2a,listener,373076,yes,yes,yes,loved,This was fun!,Very effective
7726-3d4a266f-e56d-4afb-9a79-b40deb690a76,speaker,903299,yes,yes,yes,okay,,I described the location and the color of the borders of the shape
8219-bb7861c1-43f4-480c-906b-8441c583c0ab,listener,709411,yes,yes,yes,okay,,I just listened to my partner.
6952-f84cf3f2-0198-4509-bb35-aac7dee1e132,listener,917071,yes,yes,yes,liked,,I honestly just tried to follow the speaker's instructions the best I could. 
2162-b2701f79-4ab1-4ad4-b8fc-d1c19e0b6e5c,listener,386577,yes,yes,yes,loved,none,I tried to pick the one the speaker was describing . 
2463-7f48f9b3-106d-4460-9749-561cfbf9387b,listener,585177,yes,yes,yes,loved,,I clicked on the shape that was said by the speaker.
1087-9a341f43-b2f9-4f35-bab4-bf169e3e0e2a,speaker,846732,yes,yes,yes,liked,,Tell outline first then shape then what's inside. As I went on I shortened words and phrases to go faster
3377-28918824-176d-48cb-820d-f110b89f050b,listener,327960,yes,yes,yes,loved,Thank you,The speaker was great at description.
